name,country_id,id
Saint John's,1,1
Buenos Aires,2,2
El Calafate,2,3
Puerto Iguazu,2,4
Cafayate,2,5
Cordoba,2,6
San Miguel de Tucuman,2,7
Eagle Beach,3,8
Sydney,4,9
Melbourne,4,10
Alice Springs,4,11
Cairns,4,12
Brisbane,4,13
Adelaide,4,14
Darwin,4,15
Airlie Beach,4,16
Byron Bay,4,17
Coffs Harbour,4,18
Newcastle,4,19
Surfers Paradise,4,20
Rockhampton,4,21
Wollongong,4,22
Uluru National Park (Ayers Rock),4,23
Whitsundays,4,24
Canberra,4,25
Tasmania,4,26
Western Australia,4,27
New South Wales,4,28
Victoria,4,29
Queensland,4,30
Northern Territory,4,31
South Australia,4,32
Vienna,5,33
Innsbruck,5,34
Salzburg,5,35
Bregenz,5,36
Graz,5,37
Nassau,6,38
Freeport,6,39
Manama,7,40
Dhaka,8,41
Sylhet,8,42
Holetown,9,43
Worthing,9,44
Bridgetown,9,45
Brussels,10,46
Antwerp,10,47
Bruges,10,48
Belize City,11,49
San Ignacio,11,50
Warwick Parish,12,51
Cochabamba,13,52
Santa Cruz de la Sierra,13,53
Sarajevo,14,54
Mostar,14,55
Gaborone,15,56
Maun,15,57
Kasane,15,58
Rio de Janeiro,16,59
Sao Paulo,16,60
Florianopolis,16,61
Foz do Iguacu,16,62
Curitiba,16,63
Tortola,17,64
Road Town,17,65
Virgin Gorda,17,66
Sofia,18,67
Varna,18,68
Ouagadougou,19,69
Ouahigouya,19,70
Siem Reap,20,71
Phnom Penh,20,72
Calgary,21,73
Quebec City,21,74
Montreal,21,75
Toronto,21,76
Vancouver,21,77
Victoria,21,78
Whistler,21,79
Edmonton,21,80
Kamloops,21,81
Niagara Falls,21,82
Vernon,21,83
Hope,21,84
Jasper,21,85
Banff,21,86
Halifax,21,87
Nova Scotia,21,88
Prince Edward Island,21,89
British Columbia,21,90
New Brunswick,21,91
Quebec,21,92
Alberta,21,93
Ontario,21,94
Grand Cayman,22,95
Santiago,23,96
Valparaiso,23,97
Punta Arenas,23,98
Easter Island,23,99
San Pedro de Atacama,23,100
Beijing,24,101
Shanghai,24,102
Xi'an,24,103
Chengdu,24,104
Lhasa,24,105
Cartagena,25,106
Pereira,25,107
La Fortuna,26,108
Quepos,26,109
Santa Elena,26,110
San Jose,26,111
Jaco,26,112
Zagreb,27,113
Dubrovnik,27,114
